work_year,experience_level,employment_type,job_title,salary_in_usd,company_size,work_type,country,job_category
2024,Mid Level,Full Time,Data Engineer,116106,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,185400,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Machine Learning Engineer,208300,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Data Analyst,143800,Medium,Remote,United States,Data Analyst
2024,Mid Level,Full Time,Data Analyst,106300,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Machine Learning Engineer,168890,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Data Analytics Lead,166000,Medium,Onsite,United States,Analytics
2024,Senior Level,Full Time,Data Analytics Lead,104000,Medium,Onsite,United States,Analytics
2024,Senior Level,Full Time,Data Analyst,141000,Medium,Onsite,United States,Data Analyst
2024,Mid Level,Full Time,Data Scientist,204000,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,134000,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Business Intelligence Engineer,65800,Large,Onsite,United States,BI Analyst
2024,Senior Level,Contract,Data Scientist,130000,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Contract,Data Scientist,110000,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Analyst,184000,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Analyst,147200,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Scientist,143000,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,250104,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,72700,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,353500,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,179938,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,178418,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Scientist,198600,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,94300,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Machine Learning Engineer,214032,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Data Analyst,223202,Medium,Onsite,United States,Data Analyst
2024,Entry Level,Full Time,Machine Learning Engineer,143400,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Machine Learning Engineer,98900,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Data Analyst,30000,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Scientist,179101,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,105353,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,282200,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,242000,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,173000,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Business Intelligence,110400,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Business Intelligence,76500,Medium,Onsite,United States,BI Analyst
2024,Executive Level,Full Time,Data Scientist,338000,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,156000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,179551,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Engineer,257984,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,183552,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,235400,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,191373,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,182781,Medium,Onsite,United States,Data Engineer
2024,Entry Level,Full Time,Data Analyst,291900,Medium,Onsite,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,103800,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Business Intelligence Developer,118000,Medium,Remote,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence Developer,89500,Medium,Remote,United States,BI Analyst
2024,Entry Level,Full Time,Business Intelligence Developer,80000,Medium,Remote,United States,BI Analyst
2024,Entry Level,Full Time,Business Intelligence Developer,60500,Medium,Remote,United States,BI Analyst
2024,Entry Level,Full Time,Data Analyst,57600,Medium,Onsite,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,50700,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Scientist,132250,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,189800,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,105600,Medium,Remote,United States,Data Scientist
2024,Entry Level,Full Time,Data Engineer,83500,Medium,Onsite,United States,Data Engineer
2024,Entry Level,Full Time,Business Intelligence Developer,100000,Medium,Remote,United States,BI Analyst
2024,Mid Level,Full Time,Data Scientist,257600,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,300000,Medium,Remote,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,220000,Medium,Remote,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,180000,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,240000,Medium,Remote,Canada,Data Engineer
2024,Executive Level,Full Time,Data Scientist,233850,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,161300,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,229900,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,161700,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Data Scientist,198600,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,94300,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,135800,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,95100,Medium,Remote,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,86900,Medium,Remote,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,60800,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Machine Learning Researcher,208300,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Machine Learning Researcher,138900,Medium,Onsite,United States,Machine Learning Engineer
